SKU,Main Category Name,Sub Category Name,Item Name,Color Code,Size,Stock,Wholesale Value,Market Value,Retail Value,Desc,Weight(lb),Img Url
C9EECQM051GLDGD,Jewelry,Bracelets,Multi-Rings Metal Clip-On Earrings,Gold,3 1/4 inch long,18,4.5,16.5,16.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQM051GLDGD.jpg
K2EAE18983GLDGD,Jewelry,Bracelets,Metal Texture Statement Clip-on Earrings,Gold,2 3/4 inch long,18,4.5,16.5,16.99,Metal Texture Statement Clip-on Earrings in EarringsGold,0.5,https://cdn.jropship.com/l/K2EAE18983GLDGD.jpg
M7BMB3544LBRNGD,Jewelry,Bracelets,Oval Wood Pendant Cuff Bracelet,Brown,2 inch wide,17,5.75,20.25,19.99,No Response,0.4,https://cdn.jropship.com/l/M7BMB3544LBRNGD.jpg
S7BCB0454WHTRD,Jewelry,Bracelets,Pearl Waterfall Fringe Bracelet,White,Stretch,17,15,48,47.99,No Response,0.4,https://cdn.jropship.com/l/S7BCB0454WHTRD.jpg
J5B6319MLTRS,Jewelry,Bracelets,Rhinestone Acrylic Bangle,Multi,One Size,17,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/J5B6319MLTRS.jpg
M7BMB3544LBRNGD,Jewelry,Bracelets,Oval Wood Pendant Cuff Bracelet,Brown,2 inch wide,17,5.75,20.25,19.99,No Response,0.4,https://cdn.jropship.com/l/M7BMB3544LBRNGD.jpg
S7BCB0454WHTRD,Jewelry,Earrings,Pearl Waterfall Fringe Bracelet,White,Stretch,17,15,48,47.99,No Response,0.4,https://cdn.jropship.com/l/S7BCB0454WHTRD.jpg
F4N00001YELBD,Jewelry,Earrings,Long Boho Lariat Necklace ,Yellow,52 inches,16,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/F4N00001YELBD.jpg
C9SNPY043RedRD,Jewelry,Earrings,LayeRed Pearl Necklace  Set,Red,17 inch + 3,16,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C9SNPY043RedRD.jpg
M7BMB3568LBRNGD,Jewelry,Earrings,Natural Wood Cuff,Brown,2 1/2 inch wide,16,5.75,20.25,19.99,No Response,0.4,https://cdn.jropship.com/l/M7BMB3568LBRNGD.jpg
F4N00001YELBD,Jewelry,Earrings,Long Boho Lariat Necklace ,Yellow,52 inches,16,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/F4N00001YELBD.jpg
R2E1075CLRGD,Jewelry,Earrings,Clear and Gold Beaded Shoulder Sweeper Earrings,Clear,4 inch long,20,3,12,11.99,No Response,0.1,https://cdn.jropship.com/l/R2E1075CLRGD.jpg
C9SNPY043MLTGD,Jewelry,Earrings,Multi-Tone LayeRed Pearl Necklace  Set,Multi,17 inch + 3,15,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C9SNPY043MLTGD.jpg
C7SQNE10551WHTRD,Jewelry,Earrings,Multi-Strand LayeRed Pearl Necklace  Set,White,17 inch + 3,15,6.75,23.25,22.99,No Response,0.5,https://cdn.jropship.com/l/C7SQNE10551WHTRD.jpg
K2EAE18983SILRD,Jewelry,Earrings,Metal Texture Statement Clip-on Earrings,Silver,2 3/4 inch long,15,4.5,16.5,16.99,Metal Texture Statement Clip-on Earrings in EarringsSilver,0.5,https://cdn.jropship.com/l/K2EAE18983SILRD.jpg
C9EECQ4279MLTGD,Jewelry,Earrings,Shourouk Crystal Clip-on Drop Earrings,Multi,2 3/4 INCH LONG,15,6,21,20.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ4279MLTGD.jpg
K2EAE18983SILRD,Jewelry,Earrings,Metal Texture Statement Clip-on Earrings,Silver,2 3/4 inch long,15,4.5,16.5,16.99,Metal Texture Statement Clip-on Earrings in EarringsSilver,0.5,https://cdn.jropship.com/l/K2EAE18983SILRD.jpg
C9EECQ36GRNGD,Jewelry,Earrings,Pageant Statement Crystal Clip-on Earrings,Green,3 1/4 inch long,14,5,18,17.99,No Response,0.1,https://cdn.jropship.com/l/C9EECQ36GRNGD.jpg
M6E1404PURGD,Jewelry,Earrings,Statement Crystal Pineapple Earrings,purple,2 1/4 inch long,13,6.75,23.25,22.99,No Response,0.1,https://cdn.jropship.com/l/M6E1404PURGD.jpg
U1EELE1175GRNGB,Jewelry,Earrings,Geo Wood Fashion Earrings,Green,2 1/4 inch long,13,4.5,16.5,16.99,No Response,0.1,https://cdn.jropship.com/l/U1EELE1175GRNGB.jpg
F4N00001PNKBD,Jewelry,Earrings,Long Boho Lariat Necklace ,Pink,52 inches,12,6,21,20.99,No Response,0.4,https://cdn.jropship.com/l/F4N00001PNKBD.jpg
S7BCB0454GLDGD,Jewelry,Earrings,Pearl Waterfall Fringe Bracelet,Gold,Stretch,12,15,48,47.99,No Response,0.4,https://cdn.jropship.com/l/S7BCB0454GLDGD.jpg
