SKU,MainCategoryName,SubCategoryName,ItemName,ColorCode,Size,Stock,,,,Desc,Weight(lb),Img Url
U1EELE1175GRNGB,Jewelry,Earrings,Geo Wood Fashion Earrings,Green,2 1/4 inch long,13,4.5,16.5,16.99,,0.1,https://cdn.jropship.com/l/U1EELE1175GRNGB.jpg
F4N00001PNKBD,Jewelry,Necklaces,Long Boho Lariat Necklace,Pink,52 inches,12,6,21,20.99,,0.4,https://cdn.jropship.com/l/F4N00001PNKBD.jpg
S7BCB0454GLDGD,Jewelry,Bracelets,Pearl Waterfall Fringe Bracelet,Gold,Stretch,12,15,48,47.99,,0.4,https://cdn.jropship.com/l/S7BCB0454GLDGD.jpg
C9SNBY7851RBLGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,ROYAL BLUE,16 inch + 3,12,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSROYAL BLUE,0.5,https://cdn.jropship.com/l/C9SNBY7851RBLGD.jpg
C9SNBY7851FUSGD,Jewelry,Necklace Sets,Crystal Statement Special Occasion Necklace Set,FUCSHIA,16 inch + 3,12,20.5,64.5,64.99,Crystal Statement Special Occasion Necklace Set in NECKLACE SETSFUCSHIA,0.5,https://cdn.jropship.com/l/C9SNBY7851FUSGD.jpg
S7SCN2062ABOGD,Jewelry,Necklace Sets,Glitter Lucite Bubble Bib Necklace Set,AURORA BOREALIS,17 inch + 3,12,24.5,76.5,76.99,Glitter Lucite Bubble Bib Necklace Set in NECKLACE SETSAURORA BOREALIS,0.5,https://cdn.jropship.com/l/S7SCN2062ABOGD.jpg
C7SQNE1055PNKGD,Jewelry,Necklace Sets,Wide Shoulder to Shoulder Pearl Bib Necklace,Pink,14 inch + 3,12,20.5,64.5,64.99,,0.5,https://cdn.jropship.com/l/C7SQNE1055PNKGD.jpg
C9EECH1915ABOSV,Jewelry,Earrings,Rhinestone Fringe Clip-on Earrings,Aurora Borealis,3 inch long,12,5.25,18.75,18.99,,0.1,https://cdn.jropship.com/l/C9EECH1915ABOSV.jpg
F4BPB0166MLTGB,Jewelry,Bracelets,Fresh Water Pearl Beaded Bracelet,Multi,7 inch long,12,12,39,38.99,,0.4,https://cdn.jropship.com/l/F4BPB0166MLTGB.jpg
F4N00001REDBD,Jewelry,Necklaces,Long Boho Lariat Necklace,Red,52 inches,11,6,21,20.99,,0.4,https://cdn.jropship.com/l/F4N00001REDBD.jpg
C7SQNE10593GLDGD,Jewelry,Necklace Sets,Statement Glass Pearl Braided Bib Neckalce,Gold,14 inch + 3,11,11.25,36.75,36.99,,0.5,https://cdn.jropship.com/l/C7SQNE10593GLDGD.jpg
